subject,session,scan,snr,bg_mean,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality
sub-50006,session_1,bart,11.4672538081,46.4095111535,102864,62.0021029315,1.02751233322,0.550304415922,88.8130992703,710.993850951,36400,164.91002269,2.31459969907,2.29739,2.56678,2.1028325,0.0547496883332,0.0392528027296,28.9239578247,0.372199583398,14,n/a,5.22388059701,0.0252234121723
sub-50006,session_1,stopsignal,11.4684685606,47.5022712625,102631,62.7203937328,1.13046604109,0.551317709502,88.530682621,719.306863631,36633,175.00792322,2.36547301738,2.35347,2.59498333333,2.167255,0.042487394208,0.0354678593576,41.9551773071,0.24175151346,0,n/a,0,0.0118170989674
sub-50007,session_1,pamenc,12.5006645845,35.9522618565,106353,59.2632742987,1.13665922023,0.505110859392,120.539821623,740.830314185,32911,174.141144753,2.1404347515,2.10455666667,2.31729333333,2.0107775,0.0117601101072,0.0239435676485,65.6503143311,0.0579607662115,0,n/a,0,0.0042432172449
sub-50007,session_1,bart,12.3519245575,36.5555261188,106327,60.1705728641,1.08700853687,0.506280413945,117.577091739,743.222376602,32937,174.425080463,2.14314528965,2.12512333333,2.31277,2.002805,0.0120241218038,0.0243449155241,66.8951339722,0.0532895794173,0,n/a,0,0.00377745696629
sub-50007,session_1,bht,12.5995287309,42.4024630511,106144,67.0244883556,1.13635800787,0.508013977261,120.216652817,844.476966712,33120,207.479547316,2.21219587052,2.18903,2.43526666667,2.0308275,0.030793313774,0.0334673672915,57.7754745483,0.117297290433,0,n/a,0,0.00583271278481
sub-50007,session_1,rest,12.5641177734,42.2235995299,106281,67.3385574132,1.05545005653,0.507199199741,119.889636902,846.049566032,32983,203.903608497,2.17107443249,2.14584,2.38017333333,2.00363,0.0179271564128,0.0306647513062,60.3765678406,0.0544403726747,0,n/a,0,0.00550334894737
sub-50007,session_1,taskswitch,12.4102822191,42.1988528314,106402,68.1721570325,1.13166640078,0.506325154626,117.785425647,846.03570826,32862,203.387423646,2.17492067099,2.15290333333,2.39682333333,1.9937425,0.0136437173344,0.0311868619174,77.0340042114,0.0518791805226,0,n/a,0,0.00287702019231
sub-50007,session_1,pamret,12.5022566488,36.4045408243,106367,59.498607968,1.08672258745,0.505776887955,120.011434914,743.866867061,32897,174.813198154,2.14819082771,2.13408666667,2.31037666667,2.010595,0.00876702014613,0.0240295175463,67.9313735962,0.0505930708818,0,n/a,0,0.00378461556604
sub-50007,session_1,stopsignal,12.5179990801,41.571729054,106570,67.4395319501,1.13524269481,0.50515383254,119.792807301,844.207998915,32694,197.900094254,2.13945956347,2.10831,2.35135666667,1.975415,0.0211490482196,0.0295173786581,66.0836334229,0.0710844422583,0,n/a,0,0.00446427679348
sub-50007,session_1,scap,12.5181181106,41.6469935214,106449,67.4094630551,1.1068059079,0.505903653219,119.710165204,843.839620297,32815,198.826622862,2.14522589268,2.12370666667,2.37105666667,1.9605675,0.00928974333917,0.0301532112062,54.4427146912,0.0702659870308,0,n/a,0,0.00723425391753
